CMDLINE /home/jules/.pyenv/versions/3.12.11/bin/python3.12 run_pipeline.py
MEM 250.750000 1754559293.7584
MEM 250.750000 1754559293.8618
MEM 250.750000 1754559293.9652
MEM 250.750000 1754559294.0687
MEM 250.750000 1754559294.1721
MEM 250.750000 1754559294.2757
MEM 250.750000 1754559294.3793
MEM 250.750000 1754559294.4829
MEM 250.750000 1754559294.5865
MEM 250.750000 1754559294.6901
MEM 250.750000 1754559294.7937
MEM 250.750000 1754559294.8973
MEM 250.750000 1754559295.0008
MEM 250.750000 1754559295.1045
MEM 250.750000 1754559295.2078
MEM 250.750000 1754559295.3112
MEM 250.750000 1754559295.4148
MEM 250.750000 1754559295.5183
MEM 250.750000 1754559295.6218
MEM 250.750000 1754559295.7253
MEM 250.750000 1754559295.8287
MEM 250.750000 1754559295.9322
